STATE,COUNTY,UnempRate
21,019,7.5     
21,021,6.9     
21,023,7.9     
21,025,11.4     
21,027,7.2     
21,029,5.8     
21,031,7.5     
21,033,6.5     
21,035,5.8     
21,037,5.2     
21,039,6.0     
21,041,7.1     
21,043,10.7     
21,045,6.8     
21,047,7.6     
21,049,6.1     
21,051,11.2     
21,053,9.0     
21,055,6.2     
21,057,7.6     
21,059,5.7     
21,061,8.4     
21,063,11.3     
21,065,7.5     
21,067,4.8     
21,069,7.7     
21,071,10.3     
21,073,5.3     
21,075,8.3     
21,077,7.0     
21,079,6.5     
21,081,6.5     
21,083,7.5     
21,085,8.4     
21,087,6.6     
21,089,8.5     
21,091,6.1     
21,093,6.2     
21,095,14.0     
21,097,6.0     
21,099,6.3     
21,101,6.1     
21,103,5.8     
21,105,6.2     
21,107,6.5     
21,109,11.5     
21,111,6.0     
21,113,5.3     
21,115,9.2     
21,117,5.6     
21,119,11.1     
21,121,10.0     
21,123,6.6     
21,125,7.6     
21,127,9.6     
21,129,9.7     
21,131,12.9     
21,133,12.4     
21,135,9.6     
21,137,8.9     
21,139,8.2     
21,141,5.7     
21,143,6.9     
21,145,7.0     
21,147,10.6     
21,149,6.4     
21,151,5.4     
21,153,14.0     
21,155,6.4     
21,157,6.7     
21,159,9.1     
21,161,7.9     
21,163,7.1     
21,165,9.8     
21,167,6.2     
21,169,6.1     
21,171,5.5     
21,173,7.5     
21,175,9.4     
21,177,7.6     
21,179,6.1     
21,181,7.8     
21,183,7.7     
21,185,4.7     
21,187,5.0     
21,189,10.4     
21,191,6.7     
21,193,10.3     
21,195,10.5     
21,197,8.5     
21,199,7.4     
21,201,7.8     
21,203,7.6     
21,205,7.0     
21,207,10.2     
21,209,4.9     
21,211,5.0     
21,213,5.9     
21,215,5.3     
21,217,7.7     
21,219,5.4     
21,221,7.1     
21,223,7.3     
21,225,6.4     
21,227,5.6     
21,229,5.5     
21,231,9.7     
21,233,5.5     
21,235,8.7     
21,237,11.3     
21,239,4.5     
22,001,5.8     
22,003,7.2     
22,005,5.4     
22,007,7.7     
22,009,7.3     
22,011,6.8     
22,013,7.9     
22,015,5.8     
22,017,7.5     
22,019,5.9     
22,021,7.8     
22,023,5.0     
22,025,8.1     
22,027,7.5     
22,029,8.7     
22,031,8.2     
22,033,5.8     
22,035,14.7     
22,037,6.5     
22,039,6.8     
22,041,9.5     
22,043,7.2     
22,045,6.3     
22,047,7.9     
22,049,6.0     
22,051,6.0     
22,053,5.9     
22,055,4.9     
22,057,4.8     
22,059,5.2     
22,061,8.0     
22,063,5.5     
22,065,11.1     
22,067,11.3     
22,069,8.1     
22,071,7.0     
22,073,7.0     
22,075,5.7     
22,077,7.1     
22,079,6.7     
22,081,7.2     
22,083,8.7     
22,085,6.6     
22,087,7.0     
22,089,6.1     
22,091,10.1     
22,093,8.6     
22,095,8.0     
22,097,7.7     
22,099,5.8     
22,101,6.3     
22,103,5.7     
22,105,7.6     
22,107,9.5     
22,109,4.9     
22,111,7.5     
22,113,5.6     
22,115,8.6     
22,117,7.9     
22,119,8.7     
22,121,5.8     
22,123,13.1     
22,125,5.7     
22,127,7.5     
23,001,5.4     
23,003,7.6     
23,005,4.4     
23,007,6.5     
23,009,6.9     
23,011,5.3     
23,013,5.1     
23,015,5.9     
23,017,7.0     
23,019,6.1     
23,021,7.4     
23,023,4.6     
23,025,7.9     
23,027,6.0     
23,029,8.3     
23,031,5.2     
24,001,7.6     
24,003,5.1     
24,005,6.1     
24,009,5.3     
24,011,6.2     
24,013,4.8     
24,015,6.6     
24,017,5.7     
24,019,8.4     
24,021,5.0     
24,023,7.1     
24,025,5.7     
24,027,4.3     
24,029,6.4     
24,031,4.4     
24,033,6.0     
24,035,5.1     
24,037,5.4     
24,039,9.4     
24,041,5.5     
24,043,6.5     
24,045,7.7     
24,047,11.5     
24,510,8.6     
25,001,7.1     
25,003,6.5     
25,005,7.3     
25,007,8.0     
25,009,5.9     
25,011,5.2     
25,013,7.8     
25,015,5.0     
25,017,4.7     
25,019,6.2     
25,021,5.0     
25,023,6.1     
25,025,5.3     
25,027,6.1     
26,001,10.6     
26,003,10.4     
26,005,5.4     
26,007,8.0     
26,009,9.5     
26,011,11.1     
26,013,11.2     
26,015,5.4     
26,017,7.2     
26,019,8.7     
26,021,6.8     
26,023,6.6     
26,025,6.3     
26,027,6.7     
26,029,8.1     
26,031,10.7     
26,033,9.5     
26,035,9.8     
26,037,5.0     
26,039,9.5     
26,041,8.4     
26,043,6.8     
26,045,5.7     
26,047,9.5     
26,049,7.9     
26,051,9.3     
26,053,8.9     
26,055,6.0     
26,057,7.1     
26,059,7.0     
26,061,7.7     
26,063,6.9     
26,065,6.2     
26,067,6.2     
26,069,9.7     
26,071,8.7     
26,073,5.9     
26,075,6.7     
26,077,5.6     
26,079,9.4     
26,081,4.9     
26,083,11.0     
26,085,11.2     
26,087,9.7     
26,089,6.7     
26,091,6.5     
26,093,6.5     
26,095,8.5     
26,097,11.2     
26,099,8.0     
26,101,8.5     
26,103,7.0     
26,105,7.5     
26,107,7.9     
26,109,6.9     
26,111,6.1     
26,113,7.8     
26,115,6.1     
26,117,7.6     
26,119,12.9     
26,121,7.7     
26,123,7.2     
26,125,6.6     
26,127,10.0     
26,129,9.8     
